_timestamp,_step,_runtime,test_acc,test_loss,train_loss,step,elapsed_s,train_acc
1779550712.9627504,0,1.194995066,0.009061416611075401,4.737049579620361,4.732497692108154,0,0.4,0.007571801543235779
1779550713.4733841,200,1.695709731,0.009397024288773537,14.563779830932617,0.6476343870162964,200,0.9,0.8968668580055237
1779550713.9743292,400,2.195187198,0.013424321077764034,16.70823097229004,0.12950028479099274,400,1.4,0.999738872051239
1779550714.4738317,600,2.7046236500000003,0.013983667828142643,16.3735294342041,0.08923552930355072,600,1.9,1.0
1779550714.9832292,800,3.208899368,0.014095536433160305,15.523955345153809,0.08306390047073364,800,2.5,1.0
1779550715.4874513,1000,3.710637802,0.014878622256219387,14.181533813476562,0.10198743641376495,1000,3.0,1.0
1779550715.9892366,1200,4.213231325,0.014878622256219387,15.37320327758789,0.3624647557735443,1200,3.5,0.9190600514411926
1779550716.4919257,1400,4.715292766,0.014431145042181015,18.573823928833008,0.01873129978775978,1400,4.0,1.0
1779550716.9938836,1600,5.223701602,0.014878622256219387,17.531034469604492,0.022710582241415977,1600,4.5,1.0
1779550717.502236,1800,5.754030506,0.01655666157603264,17.44904327392578,0.019564460963010788,1800,5.0,1.0
1779550718.0325663,2000,6.263172742,0.017563486471772194,15.89559268951416,0.02919437177479267,2000,5.5,1.0
1779550718.5417068,2200,6.769024688,0.017563486471772194,13.93082046508789,0.054190218448638916,2200,6.0,1.0
1779550719.0473657,2400,7.277874315,0.01991274207830429,14.131932258605957,0.04364427179098129,2400,6.5,1.0
1779550719.5564816,2600,7.777094695,0.021590782329440117,12.154802322387695,0.10258781909942627,2600,7.0,1.0
1779550720.0556335,2800,8.277142279,0.01980087347328663,14.539599418640137,0.5307607650756836,2800,7.5,0.8569190502166748
1779550720.5556638,3000,8.786387812,0.019465265795588493,16.297664642333984,0.01378975436091423,3000,8.0,1.0
1779550721.0649033,3200,9.297392237,0.020136481150984764,14.522109985351562,0.02634483389556408,3200,8.5,1.0
1779550721.5759594,3400,9.796805096,0.02114330604672432,14.20332145690918,0.027324603870511055,3400,9.0,1.0
1779550722.075415,3600,10.297356633,0.021478913724422455,13.178739547729492,0.03977590799331665,3600,9.5,1.0
1779550722.5759504,3800,10.797852304,0.024051908403635025,12.377870559692383,0.05189616605639458,3800,10.0,1.0
1779550723.0763905,4000,11.299355707,0.025282470509409904,11.690047264099121,0.07191092520952225,4000,10.5,1.0
1779550723.5779357,4200,11.800216387,0.024051908403635025,12.90142822265625,0.46640145778656006,4200,11.0,0.8827676177024841
1779550724.0787218,4400,12.301875363,0.027184249833226204,14.876043319702148,0.012680674903094769,4400,11.5,1.0
1779550724.5804195,4600,12.824679406,0.026736771687865257,13.84535026550293,0.018888451159000397,4600,12.1,1.0
1779550725.103275,4800,13.325994369,0.0295335054397583,13.14163875579834,0.023705242201685905,4800,12.6,1.0
1779550725.6045754,5000,13.826890901,0.03311332315206528,11.683494567871094,0.04725785180926323,5000,13.1,1.0
1779550726.1055093,5200,14.338479503,0.03210650011897087,15.890110969543457,0.005408432800322771,5200,13.6,1.0
1779550726.617111,5400,14.838991052,0.03288958594202995,13.56116008758545,0.016731077805161476,5400,14.1,1.0
1779550727.117645,5600,15.340489622,0.036916881799697876,12.60212230682373,0.02515794150531292,5600,14.6,1.0
