_runtime,_timestamp,_wandb,system.cpu,system.disk./.usageGB,system.disk./.usagePercent,system.disk.dm-0.in,system.disk.dm-0.out,system.memory_percent,system.network.recv,system.network.sent,system.proc.cpu.threads,system.proc.memory.availableMB,system.proc.memory.percent,system.proc.memory.rssMB,system.gpu.0.correctedMemoryErrors,system.gpu.0.dramActive,system.gpu.0.enforcedPowerLimitWatts,system.gpu.0.gpu,system.gpu.0.memory,system.gpu.0.memoryAllocated,system.gpu.0.memoryAllocatedBytes,system.gpu.0.memoryClock,system.gpu.0.nvlinkRxBytes,system.gpu.0.nvlinkTxBytes,system.gpu.0.pcieRxBytes,system.gpu.0.pcieTxBytes,system.gpu.0.pipeFp16Active,system.gpu.0.pipeFp32Active,system.gpu.0.pipeFp64Active,system.gpu.0.pipeTensorActive,system.gpu.0.pipeTensorHmmaActive,system.gpu.0.powerPercent,system.gpu.0.powerWatts,system.gpu.0.smActive,system.gpu.0.smClock,system.gpu.0.smOccupancy,system.gpu.0.temp,system.gpu.0.uncorrectedMemoryErrors,system.gpu.1.correctedMemoryErrors,system.gpu.1.dramActive,system.gpu.1.enforcedPowerLimitWatts,system.gpu.1.gpu,system.gpu.1.memory,system.gpu.1.memoryAllocated,system.gpu.1.memoryAllocatedBytes,system.gpu.1.memoryClock,system.gpu.1.nvlinkRxBytes,system.gpu.1.nvlinkTxBytes,system.gpu.1.pcieRxBytes,system.gpu.1.pcieTxBytes,system.gpu.1.pipeFp16Active,system.gpu.1.pipeFp32Active,system.gpu.1.pipeFp64Active,system.gpu.1.pipeTensorActive,system.gpu.1.pipeTensorHmmaActive,system.gpu.1.powerPercent,system.gpu.1.powerWatts,system.gpu.1.smActive,system.gpu.1.smClock,system.gpu.1.smOccupancy,system.gpu.1.temp,system.gpu.1.uncorrectedMemoryErrors
15.474991118,1779550727.2815602,True,4.16433937108093,115.70041275024414,62.48287987901173,9.56640625,0.7890625,5.153726075732217,55988.0,82980.0,29.0,458789.99609375,0.2140380081395946,1035.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.673807938,1779550727.480377,True,,,,,,,,,,,,,0.0,8.933308811917112,700.0,87.0,14.0,64.03041050037396,54759325696.0,2619.0,0.0,0.0,145.39247516657915,17.74943039043129,0.0,18.922694750071315,0.0,0.14932501051192695,0.14932499317907022,48.210142857142856,337.471,57.74061892450487,1980.0,15.668872411323806,41.0,0.0,0.0,0.0004712208209757525,700.0,0.0,0.0,88.39559398717492,75596627968.0,2619.0,0.0,0.0,1.715941749417833,2.3525810071728555,0.0,0.0,0.0,0.0,0.0,15.963,111.741,0.0,1980.0,0.0,30.0,0.0
30.475020733,1779550742.2815897,True,4.164146016585229,115.70519638061523,62.48546323195541,9.56640625,1.8515625,5.152970214244417,72335.0,113146.0,29.0,458793.65234375,0.21409292115366554,1035.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.673680407,1779550742.4802494,True,,,,,,,,,,,,,0.0,8.95795329242714,700.0,87.0,14.0,64.03041050037396,54759325696.0,2619.0,0.0,0.0,144.46054147620893,17.715267637759002,0.0,18.939602432339882,0.0,0.15022329887923275,0.15022341833932173,48.99242857142857,342.947,57.795684511869375,1980.0,15.726129927003019,42.0,0.0,0.0,0.00047029396924660994,700.0,0.0,0.0,88.39559398717492,75596627968.0,2619.0,0.0,0.0,1.2533119265003776,1.8924015398150542,0.0,0.0,0.0,0.0,0.0,15.960857142857144,111.726,0.0,1980.0,0.0,30.0,0.0
45.473618226,1779550757.2801871,True,4.164186062675054,115.70998001098633,62.48804658489908,9.56640625,6.296875,5.152385552153425,89013.0,143129.0,29.0,458796.48046875,0.21409292115366554,1035.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.673252818,1779550757.479822,True,,,,,,,,,,,,,0.0,8.93456409838384,700.0,88.0,14.0,64.03041050037396,54759325696.0,2619.0,0.0,0.0,143.90819327440747,17.6031754579685,0.0,18.87707450941438,0.0,0.14999321840981467,0.14999321840981467,47.25657142857143,330.796,57.61351849965597,1980.0,15.682969606605235,42.0,0.0,0.0,0.00047083848778462027,700.0,0.0,0.0,88.39559398717492,75596627968.0,2619.0,0.0,0.0,1.2832339692444032,1.9223640663293093,0.0,0.0,0.0,0.0,0.0,15.966857142857144,111.768,0.0,1980.0,0.0,30.0,0.0
60.4740597,1779550772.2806287,True,4.164724291125879,115.7147445678711,62.49061963739242,9.56640625,11.3125,5.158372685775814,107726.0,186191.0,29.0,458767.51953125,0.21409292115366554,1035.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.673538534,1779550772.4801075,True,,,,,,,,,,,,,0.0,13.38112965542329,700.0,88.0,14.0,64.03041050037396,54759325696.0,2619.0,0.0,0.0,217.17441053177512,25.83206082747393,0.0,18.908858297479302,0.0,0.14908535630741881,0.14908535630741881,48.193285714285715,337.353,57.676803747279514,1980.0,15.657062592183557,42.0,0.0,0.0,0.000466228308674939,700.0,0.0,0.0,88.39559398717492,75596627968.0,2619.0,0.0,0.0,0.5393812544363487,0.7009470679771904,0.0,0.0,0.0,0.0,0.0,15.966285714285714,111.764,0.0,1980.0,0.0,30.0,0.0
75.473876425,1779550787.2804453,True,4.164578305725032,115.71953201293945,62.49320505042616,9.6640625,16.40234375,5.15801009837408,125165.0,220212.0,29.0,458769.2734375,0.21409292115366554,1035.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.673291107,1779550787.47986,True,,,,,,,,,,,,,0.0,9.007518002120928,700.0,88.0,14.0,64.03041050037396,54759325696.0,2619.0,0.0,0.0,146.60400074014248,17.880655200811297,0.0,19.094503109130507,0.0,0.15025530894770653,0.15025530894770653,47.015,329.105,58.23360071901652,1980.0,15.802100891076087,43.0,0.0,0.0,0.0004667770799415523,700.0,0.0,0.0,88.39559398717492,75596627968.0,2619.0,0.0,0.0,0.5468788530101008,0.7084566959449032,0.0,0.0,0.0,0.0,0.0,15.988428571428571,111.919,0.0,1980.0,0.0,30.0,0.0
90.474157311,1779550802.2807262,True,4.16445804329348,115.72432327270508,62.49579252354997,9.6640625,21.5,5.156854502445616,142804.0,253495.0,29.0,458774.86328125,0.21409292115366554,1035.609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.673569271,1779550802.4801383,True,,,,,,,,,,,,,0.0,8.98732558485486,700.0,87.0,14.0,64.03041050037396,54759325696.0,2619.0,0.0,0.0,146.1801612011763,17.847664364435396,0.0,19.03818858866072,0.0,0.1498126447005462,0.1498126447005462,47.23085714285714,330.616,58.05030876764311,1980.0,15.75574758768897,43.0,0.0,0.0,0.00047182711072760695,700.0,0.0,0.0,88.39559398717492,75596627968.0,2619.0,0.0,0.0,1.3228209975335457,1.9593664399557027,0.0,0.0,0.0,0.0,0.0,15.965285714285715,111.757,0.0,1980.0,0.0,30.0,0.0
